open,close,low,high,volume
70442.01,70562.38,70136.49,70334.58,262.87248
70334.57,70334.58,69951.33,69982.96,228.66484
69982.97,70222.0,69793.17,70186.09,148.15983
70186.08,70794.39,70179.2,70401.05,505.28086
70401.04,70458.31,70185.4,70217.95,137.35261
70217.95,70252.0,69906.77,70228.02,285.52708
70228.01,70517.34,70175.18,70475.25,205.9448
70475.25,70581.07,70380.89,70407.15,151.43167
70407.15,70698.64,70276.23,70664.16,104.63027
70664.17,70741.32,70446.62,70492.94,118.16976
70492.94,70966.19,70485.31,70826.0,225.71607
70826.87,70894.01,70704.57,70842.71,140.2237
70842.72,70987.0,70626.15,70798.56,136.44595
70798.57,70820.85,70634.93,70762.28,78.5112
70762.28,70762.28,70501.78,70578.7,162.54261
70578.7,70654.43,70301.28,70464.01,199.42691
70464.01,70481.84,70246.59,70323.33,109.29414
70323.34,70382.47,69994.73,70147.69,197.77529
70147.69,70250.07,70035.33,70246.27,187.88408
70246.28,70422.36,70213.4,70405.94,123.1532
70405.93,70471.6,70202.39,70206.0,94.99907
70206.0,70206.01,69702.25,70051.26,270.09034
70051.26,70236.09,69961.02,70183.3,126.91274
70183.3,70265.95,70065.33,70065.33,102.79123
70065.33,70123.16,69878.34,70000.58,237.18995
70000.58,70270.1,70000.58,70242.34,93.54846
70242.33,70327.64,70199.96,70227.91,101.63089
70227.92,70355.2,70161.78,70224.31,138.28397
70224.99,70460.0,70219.72,70355.66,124.32278
70355.66,70474.11,70258.42,70455.06,221.86407
70455.07,70482.51,70318.32,70382.54,134.17518
70382.54,70596.51,70278.97,70400.0,110.86224
70399.99,70496.42,70380.04,70463.49,73.34
70463.49,70679.33,70451.89,70591.66,76.06175
